date,lifespan_sex,lifespan_val,region
2005-01-01,Все население,68.9,Кабардино-Балкарская  Республика
2005-01-01,Все население,69.61,Карачаево-Черкесская  Республика
2005-01-01,Все население,69.6,Республика Северная  Осетия – Алания
2005-01-01,Все население,72.07,Чеченская Республика 
2005-01-01,Все население,67.76,Ставропольский край
2010-01-01,Все население,68.94,Российская Федерация
2010-01-01,Все население,69.93,Центральный  федеральный округ
2010-01-01,Все население,71.31,Белгородская область
2010-01-01,Все население,67.92,Брянская область
2010-01-01,Все население,67.12,Владимирская область
2010-01-01,Все население,69.45,Воронежская область
2010-01-01,Все население,67.09,Ивановская область
2010-01-01,Все население,68.1,Калужская область
2010-01-01,Все население,67.5,Костромская область
2010-01-01,Все население,68.53,Курская область
2010-01-01,Все население,68.59,Липецкая область
2010-01-01,Все население,69.13,Московская область
2010-01-01,Все население,68.4,Орловская область
2010-01-01,Все население,67.81,Рязанская область
2010-01-01,Все население,66.59,Смоленская область
2010-01-01,Все население,69.22,Тамбовская область
2010-01-01,Все население,65.9,Тверская область
2010-01-01,Все население,67.11,Тульская область
2010-01-01,Все население,68.39,Ярославская область
2010-01-01,Все население,74.15,г. Москва
2010-01-01,Все население,68.9,Северо-Западный  федеральный округ
2010-01-01,Все население,66.42,Республика Карелия
2010-01-01,Все население,66.87,Республика Коми
2010-01-01,Все население,67.89,Архангельская область
2010-01-01,Все население,64.92,Ненецкий автономный округ
2010-01-01,Все население,67.99,Архангельская область  без автономного округа
2010-01-01,Все население,67.08,Вологодская область
2010-01-01,Все население,68.75,Калининградская область
2010-01-01,Все население,68.09,Ленинградская область
2010-01-01,Все население,68.43,Мурманская область
2010-01-01,Все население,65.04,Новгородская область
2010-01-01,Все население,64.59,Псковская область
2010-01-01,Все население,72.06,г. Санкт-Петербург
2010-01-01,Все население,70.12,Южный  федеральный округ
2010-01-01,Все население,69.95,Республика Адыгея
2010-01-01,Все население,69.35,Республика Калмыкия
2010-01-01,Все население,70.95,Краснодарский край
2010-01-01,Все население,69.08,Астраханская область
2010-01-01,Все население,69.66,Волгоградская область
2010-01-01,Все население,69.72,Ростовская область
2010-01-01,Все население,72.19,Северо-Кавказский  федеральный округ
2010-01-01,Все население,73.87,Республика Дагестан
2010-01-01,Все население,74.71,Республика Ингушетия 
2010-01-01,Все население,72.11,Кабардино-Балкарская  Республика
2010-01-01,Все население,72.44,Карачаево-Черкесская  Республика
2010-01-01,Все население,72.65,Республика Северная  Осетия – Алания
2010-01-01,Все население,71.55,Чеченская Республика 
2010-01-01,Все население,71.01,Ставропольский край
2011-01-01,Все население,69.83,Российская Федерация
2011-01-01,Все население,71.19,Центральный  федеральный округ
2011-01-01,Все население,71.71,Белгородская область
2011-01-01,Все население,68.83,Брянская область
2011-01-01,Все население,68.08,Владимирская область
2011-01-01,Все население,70.41,Воронежская область
2011-01-01,Все население,68.56,Ивановская область
2011-01-01,Все население,69.49,Калужская область
2011-01-01,Все население,68.45,Костромская область
2011-01-01,Все население,69.27,Курская область
2011-01-01,Все население,69.87,Липецкая область
2011-01-01,Все население,70.36,Московская область
2011-01-01,Все население,69.48,Орловская область
2011-01-01,Все население,69.34,Рязанская область
2011-01-01,Все население,68.12,Смоленская область
2011-01-01,Все население,70.18,Тамбовская область
2011-01-01,Все население,67.02,Тверская область
2011-01-01,Все население,68.63,Тульская область
2011-01-01,Все население,69.95,Ярославская область
2011-01-01,Все население,75.79,г. Москва
2011-01-01,Все население,70.07,Северо-Западный  федеральный округ
2011-01-01,Все население,67.95,Республика Карелия
2011-01-01,Все население,67.95,Республика Коми
2011-01-01,Все население,68.75,Архангельская область
2011-01-01,Все население,66.71,Ненецкий автономный округ
2011-01-01,Все население,68.84,Архангельская область  без автономного округа
2011-01-01,Все население,68.36,Вологодская область
2011-01-01,Все население,69.9,Калининградская область
2011-01-01,Все население,69.44,Ленинградская область
2011-01-01,Все население,68.93,Мурманская область
2011-01-01,Все население,66.46,Новгородская область
2011-01-01,Все население,66.47,Псковская область
2011-01-01,Все население,73.06,г. Санкт-Петербург
2011-01-01,Все население,70.65,Южный  федеральный округ
2011-01-01,Все население,70.99,Республика Адыгея
2011-01-01,Все население,70.8,Республика Калмыкия
2011-01-01,Все население,71.15,Краснодарский край
2011-01-01,Все население,69.84,Астраханская область
2011-01-01,Все население,70.5,Волгоградская область
2011-01-01,Все население,70.28,Ростовская область
2011-01-01,Все население,72.62,Северо-Кавказский  федеральный округ
2011-01-01,Все население,74.26,Республика Дагестан
2011-01-01,Все население,76.29,Республика Ингушетия 
2011-01-01,Все население,72.44,Кабардино-Балкарская  Республика
2011-01-01,Все население,72.85,Карачаево-Черкесская  Республика
2011-01-01,Все население,72.59,Республика Северная  Осетия – Алания
2011-01-01,Все население,72.13,Чеченская Республика 
2011-01-01,Все население,71.57,Ставропольский край
2012-01-01,Все население,70.24,Российская Федерация
2012-01-01,Все население,71.43,Центральный  федеральный округ
2012-01-01,Все население,71.91,Белгородская область
2012-01-01,Все население,69.06,Брянская область
2012-01-01,Все население,68.6,Владимирская область
2012-01-01,Все население,70.84,Воронежская область
2012-01-01,Все население,69.3,Ивановская область
2012-01-01,Все население,69.39,Калужская область
2012-01-01,Все население,69.5,Костромская область
2012-01-01,Все население,69.66,Курская область
2012-01-01,Все население,70.03,Липецкая область
2012-01-01,Все население,70.4,Московская область
2012-01-01,Все население,69.51,Орловская область
2012-01-01,Все население,69.86,Рязанская область
2012-01-01,Все население,68.49,Смоленская область
2012-01-01,Все население,70.67,Тамбовская область
2012-01-01,Все население,67.86,Тверская область
2012-01-01,Все население,68.86,Тульская область
2012-01-01,Все население,69.87,Ярославская область
2012-01-01,Все население,75.74,г. Москва
2012-01-01,Все население,70.57,Северо-Западный  федеральный округ
2012-01-01,Все население,68.0,Республика Карелия
2012-01-01,Все население,68.33,Республика Коми
2012-01-01,Все население,69.65,Архангельская область
2012-01-01,Все население,68.21,Ненецкий автономный округ
2012-01-01,Все население,69.71,Архангельская область  без автономного округа
2012-01-01,Все население,69.21,Вологодская область
2012-01-01,Все население,70.12,Калининградская область
2012-01-01,Все население,69.77,Ленинградская область
2012-01-01,Все население,69.81,Мурманская область
2012-01-01,Все население,67.55,Новгородская область
2012-01-01,Все население,66.53,Псковская область
2012-01-01,Все население,73.43,г. Санкт-Петербург
2012-01-01,Все население,71.26,Южный  федеральный округ
2012-01-01,Все население,71.68,Республика Адыгея
2012-01-01,Все население,71.22,Республика Калмыкия
2012-01-01,Все население,71.74,Краснодарский край
2012-01-01,Все население,70.36,Астраханская область
2012-01-01,Все население,70.99,Волгоградская область
2012-01-01,Все население,71.02,Ростовская область
2012-01-01,Все население,73.22,Северо-Кавказский  федеральный округ
2012-01-01,Все население,74.9,Республика Дагестан
2012-01-01,Все население,77.8,Республика Ингушетия 
2012-01-01,Все население,73.27,Кабардино-Балкарская  Республика
2012-01-01,Все население,73.38,Карачаево-Черкесская  Республика
2012-01-01,Все население,73.41,Республика Северная  Осетия – Алания
2012-01-01,Все население,71.88,Чеченская Республика 
2012-01-01,Все население,72.15,Ставропольский край
2013-01-01,Все население,70.76,Российская Федерация
2013-01-01,Все население,71.93,Центральный  федеральный округ
2013-01-01,Все население,72.16,Белгородская область
2013-01-01,Все население,69.75,Брянская область
2013-01-01,Все население,69.13,Владимирская область
2013-01-01,Все население,70.89,Воронежская область
2013-01-01,Все население,69.84,Ивановская область
2013-01-01,Все население,70.02,Калужская область
2013-01-01,Все население,69.86,Костромская область
2013-01-01,Все население,70.14,Курская область
2013-01-01,Все население,70.66,Липецкая область
2013-01-01,Все население,70.78,Московская область
2013-01-01,Все население,70.22,Орловская область
2013-01-01,Все население,70.74,Рязанская область
2013-01-01,Все население,68.9,Смоленская область
2013-01-01,Все население,70.93,Тамбовская область
2013-01-01,Все население,68.13,Тверская область
2013-01-01,Все население,69.41,Тульская область
2013-01-01,Все население,70.45,Ярославская область
2013-01-01,Все население,76.37,г. Москва
2013-01-01,Все население,71.25,Северо-Западный  федеральный округ
2013-01-01,Все население,69.19,Республика Карелия
2013-01-01,Все население,69.27,Республика Коми
2013-01-01,Все население,70.16,Архангельская область
2013-01-01,Все население,65.76,Ненецкий автономный округ
2013-01-01,Все население,70.27,Архангельская область  без автономного округа
2013-01-01,Все население,69.35,Вологодская область
2013-01-01,Все население,70.51,Калининградская область
2013-01-01,Все население,70.36,Ленинградская область
2013-01-01,Все население,70.46,Мурманская область
2013-01-01,Все население,67.67,Новгородская область
2013-01-01,Все население,67.82,Псковская область
2013-01-01,Все население,74.22,г. Санкт-Петербург
2013-01-01,Все население,71.76,Южный  федеральный округ
2013-01-01,Все население,71.8,Республика Адыгея
2013-01-01,Все население,71.35,Республика Калмыкия
2013-01-01,Все население,72.29,Краснодарский край
2013-01-01,Все население,71.34,Астраханская область
2013-01-01,Все население,71.42,Волгоградская область
2013-01-01,Все население,71.39,Ростовская область
2013-01-01,Все население,73.95,Северо-Кавказский  федеральный округ
2013-01-01,Все население,75.63,Республика Дагестан
2013-01-01,Все население,78.84,Республика Ингушетия 
2013-01-01,Все население,73.71,Кабардино-Балкарская  Республика
2013-01-01,Все население,73.94,Карачаево-Черкесская  Республика
2013-01-01,Все население,73.94,Республика Северная  Осетия – Алания
2013-01-01,Все население,73.2,Чеченская Республика 
2013-01-01,Все население,72.75,Ставропольский край
2014-01-01,Все население,70.93,Российская Федерация
2014-01-01,Все население,72.1,Центральный  федеральный округ
2014-01-01,Все население,72.25,Белгородская область
2014-01-01,Все население,69.42,Брянская область
2014-01-01,Все население,69.25,Владимирская область
2014-01-01,Все население,70.82,Воронежская область
2014-01-01,Все население,69.88,Ивановская область
2014-01-01,Все население,69.93,Калужская область
2014-01-01,Все население,70.05,Костромская область
2014-01-01,Все население,70.11,Курская область
2014-01-01,Все население,70.6,Липецкая область
2014-01-01,Все население,70.94,Московская область
2014-01-01,Все население,69.88,Орловская область
2014-01-01,Все население,70.8,Рязанская область
2014-01-01,Все население,69.44,Смоленская область
2014-01-01,Все население,71.11,Тамбовская область
2014-01-01,Все население,68.43,Тверская область
2014-01-01,Все население,69.63,Тульская область
2014-01-01,Все население,70.64,Ярославская область
2014-01-01,Все население,76.7,г. Москва
2014-01-01,Все население,71.42,Северо-Западный  федеральный округ
2014-01-01,Все население,69.36,Республика Карелия
2014-01-01,Все население,69.05,Республика Коми
2014-01-01,Все население,70.23,Архангельская область
2014-01-01,Все население,70.65,Ненецкий автономный округ
2014-01-01,Все население,70.2,Архангельская область  без автономного округа
2014-01-01,Все население,69.74,Вологодская область
2014-01-01,Все население,70.28,Калининградская область
2014-01-01,Все население,70.28,Ленинградская область
2014-01-01,Все население,69.97,Мурманская область
2014-01-01,Все население,68.41,Новгородская область
2014-01-01,Все население,68.07,Псковская область
2014-01-01,Все население,74.57,г. Санкт-Петербург
2014-01-01,Все население,71.63,Южный  федеральный округ
2014-01-01,Все население,72.01,Республика Адыгея
2014-01-01,Все население,72.03,Республика Калмыкия
2014-01-01,Все население,70.74,Республика Крым
2014-01-01,Все население,72.28,Краснодарский край
2014-01-01,Все население,70.76,Астраханская область
2014-01-01,Все население,71.62,Волгоградская область
2014-01-01,Все население,71.3,Ростовская область
2014-01-01,Все население,72.28,г. Севастополь
2014-01-01,Все население,74.11,Северо-Кавказский  федеральный округ
2014-01-01,Все население,75.83,Республика Дагестан
2014-01-01,Все население,79.42,Республика Ингушетия 
2014-01-01,Все население,74.16,Кабардино-Балкарская  Республика
2014-01-01,Все население,73.91,Карачаево-Черкесская  Республика
2014-01-01,Все население,73.82,Республика Северная  Осетия – Алания
2014-01-01,Все население,73.06,Чеченская Республика 
2014-01-01,Все население,72.75,Ставропольский край
2015-01-01,Все население,71.39,Российская Федерация
2015-01-01,Все население,72.72,Центральный  федеральный округ
2015-01-01,Все население,72.61,Белгородская область
2015-01-01,Все население,70.36,Брянская область
2015-01-01,Все население,69.82,Владимирская область
2015-01-01,Все население,71.67,Воронежская область
2015-01-01,Все население,70.62,Ивановская область
2015-01-01,Все население,70.73,Калужская область
2015-01-01,Все население,70.38,Костромская область
2015-01-01,Все население,70.8,Курская область
2015-01-01,Все население,71.07,Липецкая область
2015-01-01,Все население,72.26,Московская область
2015-01-01,Все население,70.38,Орловская область
2015-01-01,Все население,71.46,Рязанская область
2015-01-01,Все население,69.74,Смоленская область
2015-01-01,Все население,71.67,Тамбовская область
2015-01-01,Все население,69.1,Тверская область
2015-01-01,Все население,70.06,Тульская область
2015-01-01,Все население,70.98,Ярославская область
2015-01-01,Все население,76.77,г. Москва
2015-01-01,Все население,71.7,Северо-Западный  федеральный округ
2015-01-01,Все население,69.16,Республика Карелия
2015-01-01,Все население,69.4,Республика Коми
2015-01-01,Все население,70.71,Архангельская область
2015-01-01,Все население,71.0,Ненецкий автономный округ
2015-01-01,Все население,70.7,Архангельская область  без автономного округа
2015-01-01,Все население,70.4,Вологодская область
2015-01-01,Все население,70.58,Калининградская область
2015-01-01,Все население,71.23,Ленинградская область
2015-01-01,Все население,70.24,Мурманская область
2015-01-01,Все население,68.7,Новгородская область
2015-01-01,Все население,68.48,Псковская область
2015-01-01,Все население,74.42,г. Санкт-Петербург
2015-01-01,Все население,71.89,Южный  федеральный округ
2015-01-01,Все население,72.22,Республика Адыгея
2015-01-01,Все население,72.15,Республика Калмыкия
2015-01-01,Все население,70.52,Республика Крым
2015-01-01,Все население,72.53,Краснодарский край
2015-01-01,Все население,71.36,Астраханская область
2015-01-01,Все население,71.98,Волгоградская область
2015-01-01,Все население,71.9,Ростовская область
2015-01-01,Все население,70.67,г. Севастополь
2015-01-01,Все население,74.63,Северо-Кавказский  федеральный округ
2015-01-01,Все население,76.39,Республика Дагестан
2015-01-01,Все население,80.05,Республика Ингушетия 
2015-01-01,Все население,74.61,Кабардино-Балкарская  Республика
2015-01-01,Все население,74.44,Карачаево-Черкесская  Республика
2015-01-01,Все население,74.2,Республика Северная  Осетия – Алания
2015-01-01,Все население,73.45,Чеченская Республика 
2015-01-01,Все население,73.36,Ставропольский край
2016-01-01,Все население,71.87,Российская Федерация
2016-01-01,Все население,73.07,Центральный  федеральный округ
2016-01-01,Все население,72.87,Белгородская область
2016-01-01,Все население,70.92,Брянская область
2016-01-01,Все население,70.28,Владимирская область
2016-01-01,Все население,72.08,Воронежская область
2016-01-01,Все население,70.77,Ивановская область
2016-01-01,Все население,71.18,Калужская область
2016-01-01,Все население,70.87,Костромская область
2016-01-01,Все население,70.94,Курская область
2016-01-01,Все население,71.62,Липецкая область
2016-01-01,Все население,72.5,Московская область
2016-01-01,Все население,70.73,Орловская область
2016-01-01,Все население,71.87,Рязанская область
2016-01-01,Все население,69.98,Смоленская область
2016-01-01,Все население,72.11,Тамбовская область
2016-01-01,Все население,69.24,Тверская область
2016-01-01,Все население,70.56,Тульская область
2016-01-01,Все население,71.21,Ярославская область
2016-01-01,Все население,77.08,г. Москва
2016-01-01,Все население,72.16,Северо-Западный  федеральный округ
2016-01-01,Все население,69.78,Республика Карелия
2016-01-01,Все население,69.45,Республика Коми
2016-01-01,Все население,70.82,Архангельская область
2016-01-01,Все население,71.08,Ненецкий автономный округ
2016-01-01,Все население,70.8,Архангельская область  без автономного округа
2016-01-01,Все население,70.24,Вологодская область
2016-01-01,Все население,71.92,Калининградская область
2016-01-01,Все население,71.7,Ленинградская область
2016-01-01,Все население,70.94,Мурманская область
2016-01-01,Все население,69.15,Новгородская область
2016-01-01,Все население,69.25,Псковская область
2016-01-01,Все население,74.9,г. Санкт-Петербург
2016-01-01,Все население,72.29,Южный  федеральный округ
2016-01-01,Все население,72.59,Республика Адыгея
2016-01-01,Все население,73.35,Республика Калмыкия
2016-01-01,Все население,70.74,Республика Крым
2016-01-01,Все население,72.83,Краснодарский край
2016-01-01,Все население,72.2,Астраханская область
2016-01-01,Все население,72.49,Волгоградская область
2016-01-01,Все население,72.2,Ростовская область
2016-01-01,Все население,71.64,г. Севастополь
2016-01-01,Все население,75.13,Северо-Кавказский  федеральный округ
2016-01-01,Все население,77.23,Республика Дагестан
2016-01-01,Все население,80.82,Республика Ингушетия 
2016-01-01,Все население,75.12,Кабардино-Балкарская  Республика
2016-01-01,Все население,74.72,Карачаево-Черкесская  Республика
2016-01-01,Все население,75.05,Республика Северная  Осетия – Алания
2016-01-01,Все население,74.2,Чеченская Республика 
2016-01-01,Все население,73.4,Ставропольский край
2017-01-01,Все население,72.7,Российская Федерация
2017-01-01,Все население,73.89,Центральный  федеральный округ
2017-01-01,Все население,73.67,Белгородская область
2017-01-01,Все население,71.27,Брянская область
2017-01-01,Все население,71.15,Владимирская область
2017-01-01,Все население,73.03,Воронежская область
2017-01-01,Все население,71.47,Ивановская область
2017-01-01,Все население,71.87,Калужская область
2017-01-01,Все население,71.81,Костромская область
2017-01-01,Все население,71.74,Курская область
2017-01-01,Все население,72.46,Липецкая область
2017-01-01,Все население,73.34,Московская область
2017-01-01,Все население,71.63,Орловская область
2017-01-01,Все население,72.7,Рязанская область
2017-01-01,Все население,71.14,Смоленская область
2017-01-01,Все население,73.21,Тамбовская область
2017-01-01,Все население,70.45,Тверская область
2017-01-01,Все население,71.18,Тульская область
2017-01-01,Все население,71.85,Ярославская область
2017-01-01,Все население,77.87,г. Москва
2017-01-01,Все население,72.97,Северо-Западный  федеральный округ
2017-01-01,Все население,70.65,Республика Карелия
2017-01-01,Все население,71.05,Республика Коми
2017-01-01,Все население,71.94,Архангельская область
2017-01-01,Все население,71.52,Ненецкий автономный округ
2017-01-01,Все население,71.96,Архангельская область  без автономного округа
2017-01-01,Все население,71.26,Вологодская область
2017-01-01,Все население,72.62,Калининградская область
2017-01-01,Все население,72.54,Ленинградская область
2017-01-01,Все население,71.67,Мурманская область
2017-01-01,Все население,69.68,Новгородская область
2017-01-01,Все население,69.95,Псковская область
2017-01-01,Все население,75.45,г. Санкт-Петербург
2017-01-01,Все население,73.16,Южный  федеральный округ
2017-01-01,Все население,73.25,Республика Адыгея
2017-01-01,Все население,73.54,Республика Калмыкия
2017-01-01,Все население,72.0,Республика Крым
2017-01-01,Все население,73.42,Краснодарский край
2017-01-01,Все население,73.35,Астраханская область
2017-01-01,Все население,73.54,Волгоградская область
2017-01-01,Все население,73.03,Ростовская область
2017-01-01,Все население,73.37,г. Севастополь
2017-01-01,Все население,75.86,Северо-Кавказский  федеральный округ
2017-01-01,Все население,77.79,Республика Дагестан
2017-01-01,Все население,81.59,Республика Ингушетия 
2017-01-01,Все население,75.81,Кабардино-Балкарская  Республика
2017-01-01,Все население,75.94,Карачаево-Черкесская  Республика
2017-01-01,Все население,75.51,Республика Северная  Осетия – Алания
2017-01-01,Все население,74.84,Чеченская Республика 
2017-01-01,Все население,74.19,Ставропольский край
2018-01-01,Все население,72.91,Российская Федерация
2018-01-01,Все население,74.01,Центральный  федеральный округ
2018-01-01,Все население,73.67,Белгородская область
2018-01-01,Все население,71.71,Брянская область
2018-01-01,Все население,71.23,Владимирская область
2018-01-01,Все население,73.15,Воронежская область
2018-01-01,Все население,71.29,Ивановская область
2018-01-01,Все население,71.89,Калужская область
2018-01-01,Все население,71.87,Костромская область
2018-01-01,Все население,71.91,Курская область
2018-01-01,Все население,72.62,Липецкая область
2018-01-01,Все население,73.52,Московская область
2018-01-01,Все население,71.56,Орловская область
2018-01-01,Все население,72.84,Рязанская область
2018-01-01,Все население,71.16,Смоленская область
2018-01-01,Все население,72.95,Тамбовская область
2018-01-01,Все население,70.47,Тверская область
2018-01-01,Все население,71.77,Тульская область
2018-01-01,Все население,72.25,Ярославская область
2018-01-01,Все население,77.84,г. Москва
2018-01-01,Все население,73.3,Северо-Западный  федеральный округ
2018-01-01,Все население,70.56,Республика Карелия
2018-01-01,Все население,71.06,Республика Коми
2018-01-01,Все население,72.1,Архангельская область
2018-01-01,Все население,71.85,Ненецкий автономный округ
2018-01-01,Все население,72.09,Архангельская область  без автономного округа
2018-01-01,Все население,71.43,Вологодская область
2018-01-01,Все население,72.92,Калининградская область
2018-01-01,Все население,73.07,Ленинградская область
2018-01-01,Все население,71.68,Мурманская область
2018-01-01,Все население,70.26,Новгородская область
2018-01-01,Все население,70.16,Псковская область
2018-01-01,Все население,75.93,г. Санкт-Петербург
2018-01-01,Все население,73.54,Южный  федеральный округ
2018-01-01,Все население,73.56,Республика Адыгея
2018-01-01,Все население,73.84,Республика Калмыкия
2018-01-01,Все население,72.22,Республика Крым
2018-01-01,Все население,74.3,Краснодарский край
2018-01-01,Все население,73.48,Астраханская область
2018-01-01,Все население,73.47,Волгоградская область
2018-01-01,Все население,73.21,Ростовская область
2018-01-01,Все население,73.63,г. Севастополь
2018-01-01,Все население,76.25,Северо-Кавказский  федеральный округ
2018-01-01,Все население,78.69,Республика Дагестан
2018-01-01,Все население,82.41,Республика Ингушетия 
2018-01-01,Все население,76.28,Кабардино-Балкарская  Республика
2018-01-01,Все население,76.09,Карачаево-Черкесская  Республика
2018-01-01,Все население,75.68,Республика Северная  Осетия – Алания
2018-01-01,Все население,75.43,Чеченская Республика 
2018-01-01,Все население,74.18,Ставропольский край
2005-01-01,Все население,66.59,Республика Башкортостан
2005-01-01,Все население,63.53,Республика Марий Эл
2005-01-01,Все население,66.66,Республика Мордовия
2005-01-01,Все население,67.93,Республика Татарстан
2005-01-01,Все население,64.43,Удмуртская Республика
2005-01-01,Все население,66.34,Чувашская Республика
2005-01-01,Все население,62.28,Пермский край
2005-01-01,Все население,64.12,Кировская область
2005-01-01,Все население,63.42,Нижегородская область 
2005-01-01,Все население,64.86,Оренбургская область
2005-01-01,Все население,65.61,Пензенская область
2005-01-01,Все население,66.05,Самарская область
2005-01-01,Все население,65.87,Саратовская область
2005-01-01,Все население,65.38,Ульяновская область
2005-01-01,Все население,65.15,Уральский  федеральный округ
2005-01-01,Все население,64.09,Курганская область
2005-01-01,Все население,64.47,Свердловская область 
2005-01-01,Все население,66.66,Тюменская область
2005-01-01,Все население,67.82,Ханты-Мансийский  автономный округ – Югра
2005-01-01,Все население,67.58,Ямало-Ненецкий  автономный округ
2005-01-01,Все население,64.95,Тюменская область  без автономных округов
2005-01-01,Все население,64.76,ая область
2005-01-01,Все население,62.7,Сибирский  федеральный округ1)
2005-01-01,Все население,60.38,Республика Алтай
2005-01-01,Все население,55.84,Республика Тыва
2005-01-01,Все население,61.11,Республика Хакасия
2005-01-01,Все население,64.62,Алтайский край
2005-01-01,Все население,63.02,Красноярский край
2005-01-01,Все население,60.32,Иркутская область
2005-01-01,Все население,61.43,Кемеровская область
2005-01-01,Все население,65.11,Новосибирская область 
2005-01-01,Все население,65.15,Омская область
2005-01-01,Все население,65.11,Томская область
2005-01-01,Все население,62.18,Дальневосточный  федеральный округ1)
2005-01-01,Все население,60.96,Республика Бурятия
2005-01-01,Все население,64.68,Республика Саха (Якутия)
2005-01-01,Все население,59.33,Забайкальский край
2005-01-01,Все население,63.24,Камчатский край
2005-01-01,Все население,62.84,Приморский край
2005-01-01,Все население,61.72,Хабаровский край 
